species,animal,habitat,sex,slope,hab_slope,site
barrenense,Etheostoma_barrenense_A,bedrock,M,-4.920171151,-2.385477128,BARR
barrenense,Etheostoma_barrenense_A,bedrock,F,-4.888533167,-2.385477128,EFBR
barrenense,Etheostoma_barrenense_A,bedrock,F,-4.993075759,-2.385477128,EFBR
barrenense,Etheostoma_barrenense_A,bedrock,F,-5.048866767,-2.385477128,EFBR
barrenense,Etheostoma_barrenense_A,bedrock,F,-5.105690572,-2.385477128,EFBR
barrenense,Etheostoma_barrenense_A,bedrock,F,-4.955855244,-2.385477128,EFBR
barrenense,Etheostoma_barrenense_A,bedrock,F,-4.897371251,-2.385477128,EFBR
barrenense,Etheostoma_barrenense_A,bedrock,F,-5.078569893,-2.385477128,EFBR
barrenense,Etheostoma_barrenense_A,bedrock,F,-4.942149652,-2.385477128,EFBR
barrenense,Etheostoma_barrenense_A,bedrock,F,-4.938246123,-2.385477128,EFBR
barrenense,Etheostoma_barrenense_A,bedrock,F,-4.989644762,-2.385477128,EFBR
barrenense,Etheostoma_barrenense_A,bedrock,F,-4.991574645,-2.385477128,EFBR
barrenense,Etheostoma_barrenense_A,bedrock,F,-5.029161355,-2.385477128,EFBR
barrenense,Etheostoma_barrenense_A,bedrock,F,-4.940536892,-2.385477128,EFBR
barrenense,Etheostoma_barrenense_A,bedrock,F,-4.96675293,-2.385477128,EFBR
barrenense,Etheostoma_barrenense_A,bedrock,F,-5.066549652,-2.385477128,EFBR
barrenense,Etheostoma_barrenense_A,bedrock,F,-5.114620106,-2.385477128,EFBR
barrenense,Etheostoma_barrenense_A,bedrock,F,-4.948121328,-2.385477128,EFBR
barrenense,Etheostoma_barrenense_A,bedrock,F,-4.874861337,-2.385477128,EFBR
barrenense,Etheostoma_barrenense_A,bedrock,M,-4.92412024,-2.385477128,EFBR
barrenense,Etheostoma_barrenense_A,bedrock,M,-4.951377486,-2.385477128,EFBR
barrenense,Etheostoma_barrenense_A,bedrock,M,-5.040852973,-2.385477128,EFBR
barrenense,Etheostoma_barrenense_A,bedrock,M,-5.017402345,-2.385477128,EFBR
barrenense,Etheostoma_barrenense_A,bedrock,M,-4.993791774,-2.385477128,EFBR
barrenense,Etheostoma_barrenense_A,bedrock,M,-4.99274125,-2.385477128,EFBR
barrenense,Etheostoma_barrenense_A,bedrock,M,-4.932908122,-2.385477128,EFBR
barrenense,Etheostoma_barrenense_A,bedrock,M,-4.954792712,-2.385477128,EFBR
barrenense,Etheostoma_barrenense_A,bedrock,M,-5.003491132,-2.385477128,EFBR
barrenense,Etheostoma_barrenense_A,bedrock,M,-4.717874349,-2.385477128,EFBR
barrenense,Etheostoma_barrenense_A,bedrock,M,-5.105155511,-2.385477128,EFBR
barrenense,Etheostoma_barrenense_A,bedrock,M,-4.927116533,-2.385477128,EFBR
barrenense,Etheostoma_barrenense_A,bedrock,F,-4.926161937,-2.385477128,LICK
barrenense,Etheostoma_barrenense_A,bedrock,F,-5.13212155,-2.385477128,LICK
barrenense,Etheostoma_barrenense_A,bedrock,F,-4.952001293,-2.385477128,LICK
barrenense,Etheostoma_barrenense_A,bedrock,F,-5.002688298,-2.385477128,LICK
barrenense,Etheostoma_barrenense_A,bedrock,F,-5.068753523,-2.385477128,LICK
barrenense,Etheostoma_barrenense_A,bedrock,F,-4.910501289,-2.385477128,LICK
barrenense,Etheostoma_barrenense_A,bedrock,F,-5.083494379,-2.385477128,LICK
barrenense,Etheostoma_barrenense_A,bedrock,F,-5.097504351,-2.385477128,LICK
barrenense,Etheostoma_barrenense_A,bedrock,F,-5.059713607,-2.385477128,LICK
barrenense,Etheostoma_barrenense_A,bedrock,F,-4.999409432,-2.385477128,LICK
barrenense,Etheostoma_barrenense_A,bedrock,F,-4.79844281,-2.385477128,LICK
barrenense,Etheostoma_barrenense_A,bedrock,F,-4.993453215,-2.385477128,LICK
barrenense,Etheostoma_barrenense_A,bedrock,M,-4.706550342,-2.385477128,LICK
barrenense,Etheostoma_barrenense_A,bedrock,M,-4.989861597,-2.385477128,LICK
barrenense,Etheostoma_barrenense_A,bedrock,M,-5.157812587,-2.385477128,LICK
barrenense,Etheostoma_barrenense_A,bedrock,M,-5.003954139,-2.385477128,LICK
barrenense,Etheostoma_barrenense_A,bedrock,M,-4.923468124,-2.385477128,LICK
barrenense,Etheostoma_barrenense_A,bedrock,M,-4.898419083,-2.385477128,LICK
barrenense,Etheostoma_barrenense_A,bedrock,M,-4.686092873,-2.385477128,LICK
barrenense,Etheostoma_barrenense_A,bedrock,M,-4.784062276,-2.385477128,LICK
barrenense,Etheostoma_barrenense_A,bedrock,M,-4.697612601,-2.385477128,LICK
barrenense,Etheostoma_barrenense_A,bedrock,M,-4.826982496,-2.385477128,LICK
barrenense,Etheostoma_barrenense_A,bedrock,M,-4.696523316,-2.385477128,LICK
barrenense,Etheostoma_barrenense_A,bedrock,M,-4.939567976,-2.385477128,LICK
barrenense,Etheostoma_barrenense_A,bedrock,M,-4.931478229,-2.385477128,LICK
barrenense,Etheostoma_barrenense_A,bedrock,M,-4.752137623,-2.385477128,LICK
barrenense,Etheostoma_barrenense_A,bedrock,M,-4.872375811,-2.385477128,LICK
barrenense,Etheostoma_barrenense_A,bedrock,M,-4.944602178,-2.385477128,LICK
barrenense,Etheostoma_barrenense_A,bedrock,M,-4.797597892,-2.385477128,LICK
barrenense,Etheostoma_barrenense_A,bedrock,M,-4.724038808,-2.385477128,LICK
barrenense,Etheostoma_barrenense_A,bedrock,F,-4.98663824,-2.385477128,TRCK
barrenense,Etheostoma_barrenense_A,bedrock,F,-4.885734023,-2.385477128,TRCK
barrenense,Etheostoma_barrenense_A,bedrock,F,-4.951321587,-2.385477128,TRCK
barrenense,Etheostoma_barrenense_A,bedrock,F,-5.042187988,-2.385477128,TRCK
barrenense,Etheostoma_barrenense_A,bedrock,F,-4.74357414,-2.385477128,TRCK
barrenense,Etheostoma_barrenense_A,bedrock,F,-5.237943842,-2.385477128,TRCK
barrenense,Etheostoma_barrenense_A,bedrock,F,-4.847714503,-2.385477128,TRCK
barrenense,Etheostoma_barrenense_A,bedrock,F,-5.093797088,-2.385477128,TRCK
barrenense,Etheostoma_barrenense_A,bedrock,F,-4.943691089,-2.385477128,TRCK
barrenense,Etheostoma_barrenense_A,bedrock,F,-5.071379093,-2.385477128,TRCK
barrenense,Etheostoma_barrenense_A,bedrock,F,-5.051264606,-2.385477128,TRCK
barrenense,Etheostoma_barrenense_A,bedrock,F,-4.556008186,-2.385477128,TRCK
barrenense,Etheostoma_barrenense_A,bedrock,F,-5.000368174,-2.385477128,TRCK
barrenense,Etheostoma_barrenense_A,bedrock,M,-4.911631278,-2.385477128,TRCK
barrenense,Etheostoma_barrenense_A,bedrock,M,-4.847951621,-2.385477128,TRCK
barrenense,Etheostoma_barrenense_A,bedrock,M,-4.931537513,-2.385477128,TRCK
barrenense,Etheostoma_barrenense_A,bedrock,M,-4.800446374,-2.385477128,TRCK
barrenense,Etheostoma_barrenense_A,bedrock,M,-4.877258117,-2.385477128,TRCK
barrenense,Etheostoma_barrenense_A,bedrock,M,-4.685692759,-2.385477128,TRCK
barrenense,Etheostoma_barrenense_A,bedrock,M,-4.944618534,-2.385477128,TRCK
barrenense,Etheostoma_barrenense_A,bedrock,M,-4.883458792,-2.385477128,TRCK
barrenense,Etheostoma_barrenense_A,bedrock,M,-4.822159757,-2.385477128,TRCK
barrenense,Etheostoma_barrenense_A,bedrock,M,-4.919251217,-2.385477128,TRCK
barrenense,Etheostoma_barrenense_A,bedrock,M,-4.959338176,-2.385477128,TRCK
blennioides,Etheostoma_blennioides_A,boulder,F,-4.952297218,-2.647150421,BNCK
blennioides,Etheostoma_blennioides_A,boulder,F,-4.835312205,-2.647150421,BNCK
blennioides,Etheostoma_blennioides_A,boulder,F,-4.903313259,-2.647150421,BNCK
blennioides,Etheostoma_blennioides_A,boulder,F,-4.74026851,-2.647150421,BNCK
blennioides,Etheostoma_blennioides_A,boulder,F,-4.912342399,-2.647150421,BNCK
blennioides,Etheostoma_blennioides_A,boulder,F,-4.904122592,-2.647150421,BNCK
blennioides,Etheostoma_blennioides_A,boulder,F,-4.979109597,-2.647150421,BNCK
blennioides,Etheostoma_blennioides_A,boulder,F,-5.114285961,-2.647150421,BNCK
blennioides,Etheostoma_blennioides_A,boulder,F,-4.948332022,-2.647150421,BNCK
blennioides,Etheostoma_blennioides_A,boulder,F,-4.930239529,-2.647150421,BNCK
blennioides,Etheostoma_blennioides_A,boulder,F,-4.862449736,-2.647150421,BNCK
blennioides,Etheostoma_blennioides_A,boulder,F,-4.958706061,-2.647150421,BNCK
blennioides,Etheostoma_blennioides_A,boulder,M,-4.868681237,-2.647150421,BNCK
blennioides,Etheostoma_blennioides_A,boulder,M,-4.787075063,-2.647150421,BNCK
blennioides,Etheostoma_blennioides_A,boulder,M,-4.922142427,-2.647150421,BNCK
blennioides,Etheostoma_blennioides_A,boulder,M,-4.872809754,-2.647150421,BNCK
blennioides,Etheostoma_blennioides_A,boulder,M,-4.928828921,-2.647150421,BNCK
blennioides,Etheostoma_blennioides_A,boulder,M,-4.73602657,-2.647150421,BNCK
blennioides,Etheostoma_blennioides_A,boulder,M,-4.728217773,-2.647150421,BNCK
blennioides,Etheostoma_blennioides_A,boulder,M,-4.7311942,-2.647150421,BNCK
blennioides,Etheostoma_blennioides_A,boulder,M,-5.063066869,-2.647150421,BNCK
blennioides,Etheostoma_blennioides_A,boulder,M,-4.936011747,-2.647150421,BNCK
blennioides,Etheostoma_blennioides_A,boulder,M,-4.668442158,-2.647150421,BNCK
blennioides,Etheostoma_blennioides_A,boulder,F,-5.209422638,-2.647150421,JDCK
blennioides,Etheostoma_blennioides_A,boulder,F,-5.049810213,-2.647150421,JDCK
blennioides,Etheostoma_blennioides_A,boulder,F,-5.269083648,-2.647150421,JDCK
blennioides,Etheostoma_blennioides_A,boulder,F,-5.181787638,-2.647150421,JDCK
blennioides,Etheostoma_blennioides_A,boulder,F,-5.212694191,-2.647150421,JDCK
blennioides,Etheostoma_blennioides_A,boulder,F,-4.995424392,-2.647150421,JDCK
blennioides,Etheostoma_blennioides_A,boulder,F,-4.922965415,-2.647150421,JDCK
blennioides,Etheostoma_blennioides_A,boulder,M,-5.231997167,-2.647150421,JDCK
blennioides,Etheostoma_blennioides_A,boulder,M,-5.130643853,-2.647150421,JDCK
blennioides,Etheostoma_blennioides_A,boulder,M,-4.933423886,-2.647150421,JDCK
blennioides,Etheostoma_blennioides_A,boulder,M,-4.806592525,-2.647150421,JDCK
blennioides,Etheostoma_blennioides_A,boulder,M,-5.185392529,-2.647150421,JDCK
blennioides,Etheostoma_blennioides_A,boulder,M,-5.24912429,-2.647150421,JDCK
blennioides,Etheostoma_blennioides_A,boulder,M,-4.899982725,-2.647150421,JDCK
blennioides,Etheostoma_blennioides_A,boulder,M,-5.058476214,-2.647150421,JDCK
blennioides,Etheostoma_blennioides_A,boulder,M,-5.096464827,-2.647150421,JDCK
blennioides,Etheostoma_blennioides_A,boulder,M,-5.005860481,-2.647150421,JDCK
blennioides,Etheostoma_blennioides_A,boulder,M,-5.216010629,-2.647150421,JDCK
blennioides,Etheostoma_blennioides_A,boulder,F,-5.004291214,-2.647150421,REDR
blennioides,Etheostoma_blennioides_A,boulder,F,-4.999170296,-2.647150421,REDR
blennioides,Etheostoma_blennioides_A,boulder,F,-5.033216131,-2.647150421,REDR
blennioides,Etheostoma_blennioides_A,boulder,F,-5.110934943,-2.647150421,REDR
blennioides,Etheostoma_blennioides_A,boulder,F,-5.158325385,-2.647150421,REDR
blennioides,Etheostoma_blennioides_A,boulder,F,-5.168180245,-2.647150421,REDR
blennioides,Etheostoma_blennioides_A,boulder,F,-5.06101294,-2.647150421,REDR
blennioides,Etheostoma_blennioides_A,boulder,F,-5.245283615,-2.647150421,REDR
blennioides,Etheostoma_blennioides_A,boulder,F,-5.256301915,-2.647150421,REDR
blennioides,Etheostoma_blennioides_A,boulder,F,-4.924946342,-2.647150421,REDR
blennioides,Etheostoma_blennioides_A,boulder,F,-4.788197437,-2.647150421,REDR
blennioides,Etheostoma_blennioides_A,boulder,F,-5.063725847,-2.647150421,REDR
blennioides,Etheostoma_blennioides_A,boulder,M,-4.840145073,-2.647150421,REDR
blennioides,Etheostoma_blennioides_A,boulder,M,-5.066622397,-2.647150421,REDR
blennioides,Etheostoma_blennioides_A,boulder,M,-4.974475105,-2.647150421,REDR
blennioides,Etheostoma_blennioides_A,boulder,M,-5.025086101,-2.647150421,REDR
blennioides,Etheostoma_blennioides_A,boulder,M,-5.073619456,-2.647150421,REDR
blennioides,Etheostoma_blennioides_A,boulder,M,-5.052740458,-2.647150421,REDR
blennioides,Etheostoma_blennioides_A,boulder,M,-5.130658135,-2.647150421,REDR
blennioides,Etheostoma_blennioides_A,boulder,M,-5.073157632,-2.647150421,REDR
caeruleum,Etheostoma_caeruleum_A,gravel,F,-4.998994657,-2.857745326,REDR
caeruleum,Etheostoma_caeruleum_A,gravel,F,-4.958606947,-2.857745326,REDR
caeruleum,Etheostoma_caeruleum_A,gravel,F,-5.061107681,-2.857745326,REDR
caeruleum,Etheostoma_caeruleum_A,gravel,F,-5.046334393,-2.857745326,REDR
caeruleum,Etheostoma_caeruleum_A,gravel,F,-5.021447296,-2.857745326,REDR
caeruleum,Etheostoma_caeruleum_A,gravel,F,-4.934333177,-2.857745326,REDR
caeruleum,Etheostoma_caeruleum_A,gravel,F,-5.049272508,-2.857745326,REDR
caeruleum,Etheostoma_caeruleum_A,gravel,F,-4.867309705,-2.857745326,REDR
caeruleum,Etheostoma_caeruleum_A,gravel,F,-5.010215374,-2.857745326,REDR
caeruleum,Etheostoma_caeruleum_A,gravel,F,-4.95797728,-2.857745326,REDR
caeruleum,Etheostoma_caeruleum_A,gravel,F,-5.18349916,-2.857745326,REDR
caeruleum,Etheostoma_caeruleum_A,gravel,F,-5.001241614,-2.857745326,REDR
caeruleum,Etheostoma_caeruleum_A,gravel,M,-5.092121987,-2.857745326,REDR
caeruleum,Etheostoma_caeruleum_A,gravel,M,-5.098870379,-2.857745326,REDR
caeruleum,Etheostoma_caeruleum_A,gravel,M,-4.836970226,-2.857745326,REDR
caeruleum,Etheostoma_caeruleum_A,gravel,M,-5.013060265,-2.857745326,REDR
caeruleum,Etheostoma_caeruleum_A,gravel,M,-5.060731374,-2.857745326,REDR
caeruleum,Etheostoma_caeruleum_A,gravel,M,-5.068237154,-2.857745326,REDR
caeruleum,Etheostoma_caeruleum_A,gravel,M,-5.022274472,-2.857745326,REDR
caeruleum,Etheostoma_caeruleum_A,gravel,M,-5.189115421,-2.857745326,REDR
caeruleum,Etheostoma_caeruleum_A,gravel,M,-5.19701288,-2.857745326,REDR
caeruleum,Etheostoma_caeruleum_A,gravel,M,-5.156698578,-2.857745326,REDR
caeruleum,Etheostoma_caeruleum_A,gravel,M,-5.231009377,-2.857745326,REDR
caeruleum,Etheostoma_caeruleum_A,gravel,M,-4.995675617,-2.857745326,REDR
caeruleum,Etheostoma_caeruleum_A,gravel,M,-5.115830618,-2.857745326,REDR
caeruleum,Etheostoma_caeruleum_A,gravel,M,-5.29287433,-2.857745326,REDR
caeruleum,Etheostoma_caeruleum_A,gravel,M,-5.251154173,-2.857745326,REDR
caeruleum,Etheostoma_caeruleum_A,gravel,F,-5.019183804,-2.857745326,SAFK
caeruleum,Etheostoma_caeruleum_A,gravel,F,-5.212095816,-2.857745326,SAFK
caeruleum,Etheostoma_caeruleum_A,gravel,F,-5.070287817,-2.857745326,SAFK
caeruleum,Etheostoma_caeruleum_A,gravel,F,-5.164156121,-2.857745326,SAFK
caeruleum,Etheostoma_caeruleum_A,gravel,F,-4.979383774,-2.857745326,SAFK
caeruleum,Etheostoma_caeruleum_A,gravel,F,-4.812110083,-2.857745326,SAFK
caeruleum,Etheostoma_caeruleum_A,gravel,F,-5.080073173,-2.857745326,SAFK
caeruleum,Etheostoma_caeruleum_A,gravel,F,-5.071283463,-2.857745326,SAFK
caeruleum,Etheostoma_caeruleum_A,gravel,F,-5.063523346,-2.857745326,SAFK
caeruleum,Etheostoma_caeruleum_A,gravel,F,-5.116309244,-2.857745326,SAFK
caeruleum,Etheostoma_caeruleum_A,gravel,F,-4.821156404,-2.857745326,SAFK
caeruleum,Etheostoma_caeruleum_A,gravel,M,-5.0592103,-2.857745326,SAFK
caeruleum,Etheostoma_caeruleum_A,gravel,M,-5.144725642,-2.857745326,SAFK
caeruleum,Etheostoma_caeruleum_A,gravel,M,-4.963502984,-2.857745326,SAFK
caeruleum,Etheostoma_caeruleum_A,gravel,M,-4.928752702,-2.857745326,SAFK
caeruleum,Etheostoma_caeruleum_A,gravel,M,-4.885299211,-2.857745326,SAFK
caeruleum,Etheostoma_caeruleum_A,gravel,M,-4.925078855,-2.857745326,SAFK
caeruleum,Etheostoma_caeruleum_A,gravel,M,-4.889109098,-2.857745326,SAFK
caeruleum,Etheostoma_caeruleum_A,gravel,M,-4.922420313,-2.857745326,SAFK
caeruleum,Etheostoma_caeruleum_A,gravel,M,-5.084777901,-2.857745326,SAFK
caeruleum,Etheostoma_caeruleum_A,gravel,M,-4.859666623,-2.857745326,SAFK
caeruleum,Etheostoma_caeruleum_A,gravel,M,-4.962210487,-2.857745326,SAFK
caeruleum,Etheostoma_caeruleum_A,gravel,F,-4.963055333,-2.857745326,TRFK
caeruleum,Etheostoma_caeruleum_A,gravel,F,-4.96438642,-2.857745326,TRFK
caeruleum,Etheostoma_caeruleum_A,gravel,F,-4.992376717,-2.857745326,TRFK
caeruleum,Etheostoma_caeruleum_A,gravel,F,-5.10233151,-2.857745326,TRFK
caeruleum,Etheostoma_caeruleum_A,gravel,F,-5.030691057,-2.857745326,TRFK
caeruleum,Etheostoma_caeruleum_A,gravel,F,-5.045462543,-2.857745326,TRFK
caeruleum,Etheostoma_caeruleum_A,gravel,F,-4.803056755,-2.857745326,TRFK
caeruleum,Etheostoma_caeruleum_A,gravel,F,-4.928271366,-2.857745326,TRFK
caeruleum,Etheostoma_caeruleum_A,gravel,F,-4.882802483,-2.857745326,TRFK
caeruleum,Etheostoma_caeruleum_A,gravel,F,-5.069441035,-2.857745326,TRFK
caeruleum,Etheostoma_caeruleum_A,gravel,F,-5.007820054,-2.857745326,TRFK
caeruleum,Etheostoma_caeruleum_A,gravel,F,-5.036678989,-2.857745326,TRFK
caeruleum,Etheostoma_caeruleum_A,gravel,M,-5.124154364,-2.857745326,TRFK
caeruleum,Etheostoma_caeruleum_A,gravel,M,-4.955559469,-2.857745326,TRFK
caeruleum,Etheostoma_caeruleum_A,gravel,M,-5.260169085,-2.857745326,TRFK
caeruleum,Etheostoma_caeruleum_A,gravel,M,-4.85743151,-2.857745326,TRFK
caeruleum,Etheostoma_caeruleum_A,gravel,M,-5.029389826,-2.857745326,TRFK
caeruleum,Etheostoma_caeruleum_A,gravel,M,-5.069863259,-2.857745326,TRFK
caeruleum,Etheostoma_caeruleum_A,gravel,M,-5.089877655,-2.857745326,TRFK
caeruleum,Etheostoma_caeruleum_A,gravel,M,-4.954146815,-2.857745326,TRFK
caeruleum,Etheostoma_caeruleum_A,gravel,M,-5.135621148,-2.857745326,TRFK
caeruleum,Etheostoma_caeruleum_A,gravel,M,-5.029904715,-2.857745326,TRFK
caeruleum,Etheostoma_caeruleum_A,gravel,M,-5.064603794,-2.857745326,TRFK
caeruleum,Etheostoma_caeruleum_A,gravel,M,-5.198364401,-2.857745326,TRFK
camurum,Nothonotus_camurus_A,boulder,F,-5.104776925,-2.647150421,MFKR
camurum,Nothonotus_camurus_A,boulder,F,-4.872264011,-2.647150421,MFKR
camurum,Nothonotus_camurus_A,boulder,F,-4.995407749,-2.647150421,MFKR
camurum,Nothonotus_camurus_A,boulder,F,-4.993532629,-2.647150421,MFKR
camurum,Nothonotus_camurus_A,boulder,F,-4.792438976,-2.647150421,MFKR
camurum,Nothonotus_camurus_A,boulder,F,-5.006316349,-2.647150421,MFKR
camurum,Nothonotus_camurus_A,boulder,F,-4.941035298,-2.647150421,MFKR
camurum,Nothonotus_camurus_A,boulder,F,-5.14467679,-2.647150421,MFKR
camurum,Nothonotus_camurus_A,boulder,F,-5.020429359,-2.647150421,MFKR
camurum,Nothonotus_camurus_A,boulder,F,-4.827781504,-2.647150421,MFKR
camurum,Nothonotus_camurus_A,boulder,M,-5.1920467,-2.647150421,MFKR
camurum,Nothonotus_camurus_A,boulder,M,-5.032304585,-2.647150421,MFKR
camurum,Nothonotus_camurus_A,boulder,M,-5.116156786,-2.647150421,MFKR
camurum,Nothonotus_camurus_A,boulder,M,-4.953161647,-2.647150421,MFKR
camurum,Nothonotus_camurus_A,boulder,M,-5.008186285,-2.647150421,MFKR
camurum,Nothonotus_camurus_A,boulder,M,-4.98095925,-2.647150421,MFKR
camurum,Nothonotus_camurus_A,boulder,M,-5.041561126,-2.647150421,MFKR
camurum,Nothonotus_camurus_A,boulder,M,-5.174924637,-2.647150421,MFKR
camurum,Nothonotus_camurus_A,boulder,M,-4.863224985,-2.647150421,MFKR
camurum,Nothonotus_camurus_A,boulder,M,-4.946066931,-2.647150421,MFKR
camurum,Nothonotus_camurus_A,boulder,M,-4.901276075,-2.647150421,MFKR
camurum,Nothonotus_camurus_A,boulder,F,-5.034424156,-2.647150421,MFVR
camurum,Nothonotus_camurus_A,boulder,F,-4.903797928,-2.647150421,MFVR
camurum,Nothonotus_camurus_A,boulder,F,-4.838105897,-2.647150421,MFVR
camurum,Nothonotus_camurus_A,boulder,F,-4.842596283,-2.647150421,MFVR
camurum,Nothonotus_camurus_A,boulder,F,-4.888011032,-2.647150421,MFVR
camurum,Nothonotus_camurus_A,boulder,F,-5.134132747,-2.647150421,MFVR
camurum,Nothonotus_camurus_A,boulder,F,-4.808012534,-2.647150421,MFVR
camurum,Nothonotus_camurus_A,boulder,F,-4.845405247,-2.647150421,MFVR
camurum,Nothonotus_camurus_A,boulder,F,-4.833371417,-2.647150421,MFVR
camurum,Nothonotus_camurus_A,boulder,M,-4.779091006,-2.647150421,MFVR
camurum,Nothonotus_camurus_A,boulder,M,-5.086996985,-2.647150421,MFVR
camurum,Nothonotus_camurus_A,boulder,M,-4.941545783,-2.647150421,MFVR
camurum,Nothonotus_camurus_A,boulder,M,-5.029798824,-2.647150421,MFVR
camurum,Nothonotus_camurus_A,boulder,M,-4.768681067,-2.647150421,MFVR
camurum,Nothonotus_camurus_A,boulder,M,-4.68536675,-2.647150421,MFVR
camurum,Nothonotus_camurus_A,boulder,M,-4.826677588,-2.647150421,MFVR
camurum,Nothonotus_camurus_A,boulder,M,-4.758240878,-2.647150421,MFVR
camurum,Nothonotus_camurus_A,boulder,M,-4.671996172,-2.647150421,MFVR
camurum,Nothonotus_camurus_A,boulder,M,-4.863012342,-2.647150421,MFVR
camurum,Nothonotus_camurus_A,boulder,F,-5.117436101,-2.647150421,SFKR
camurum,Nothonotus_camurus_A,boulder,F,-5.14363494,-2.647150421,SFKR
camurum,Nothonotus_camurus_A,boulder,F,-5.189584106,-2.647150421,SFKR
camurum,Nothonotus_camurus_A,boulder,F,-4.963857002,-2.647150421,SFKR
camurum,Nothonotus_camurus_A,boulder,F,-4.996742211,-2.647150421,SFKR
camurum,Nothonotus_camurus_A,boulder,F,-5.121099574,-2.647150421,SFKR
camurum,Nothonotus_camurus_A,boulder,F,-5.074847478,-2.647150421,SFKR
